animeTitle	b'Mouryou no Hako'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.18
animeUsers	13628
animeRank	
animePopularity	
animeDescription	"b""The story follows a series of bizarre murders of schoolgirls who have been dismembered and stuffed into boxes. The private investigator hired by a missing daughter's mother joins forces with an antique book seller and others to unravel the murder spree.\n\n(Source: ANN)"""
animeRelated	[b'Mouryou no Hako', b'Mouryou no Hako: Chuuzenji Atsuko no Jikenbo - Hako no Yurei no Koto']
animeCharacters	[b'Chuuzenji, Akihiko', b'Enokizu, Reijiro', b'Sekiguchi, Tatsumi', b'Kiba, Shutaro', b'Yuzuki, Kanako', b'Yuzuki, Yoko', b'Mysterious Man', b'Kusumoto, Yoriko', b'Policeman Fukumoto', b'Chuuzenji, Chizuko']
animeVoices	[b'\nHirata, Hiroaki\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nKiuchi, Hidenobu\nJapanese\n', b'\nSeki, Takaaki\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nFuruya, Toru\nJapanese\n', b'\nTakahashi, Mikako\nJapanese\n', b'\nUeda, Youji\nJapanese\n', b'\nMinaguchi, Yuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakamura, Ryousuke\n\nDirector, Storyboard\n\n', b'\nIshizuka, Atsuko\n\nEpisode Director\n\n', b'\nMurai, Sadayuki\n\nScript, Series Composition\n\n', b'\nFujioka, Yoshinobu\n\nScript\n\n']
