animeTitle	b'Donten ni Warau'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.51
animeUsers	40497
animeRank	
animePopularity	
animeDescription	b'When swords were outlawed in the eleventh year of the Meiji Era, the mighty samurai population began to dwindle. Those who rejected the ban on blades rebelled, causing violent unrest to erupt throughout the countryside. To combat the rise in criminal activity, an inescapable lake prison was constructed. Three young men, born of the Kumoh line, were given the duty of delivering criminals to their place of confinement\xe2\x80\x94but could there be more to their mission than meets the eye?\n\n(Source: FUNimation)'
animeRelated	"[b'Donten ni Warau', b'Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai', b'Ippun de Wakaru Eiga ""Donten ni Warau"" Kaisetsu Yokoku']"
animeCharacters	[b'Kumou, Tenka', b'Kinjou, Shirasu', b'Kumou, Soramaru', b'Kumou, Chuutarou', b'Nishiki', b'Abeno, Hirari', b'Abeno, Sousei', b'Sasaki, Kiiko', b'Kagami, Naoto', b'Ashiya, Mutsuki']
animeVoices	[b'\nNakamura, Yuuichi\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nYonaga, Tsubasa\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nFujiwara, Yuuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHaraguchi, Hiroshi\n\nDirector\n\n', b'\nEnomoto, Takahiro\n\nSound Director\n\n', b'\nTakahashi, Yuuya\n\nScript, Series Composition\n\n', b'\nGalneryus\n\nTheme Song Arrangement, Theme Song Performance, Theme Song Lyrics, Theme Song Composition\n\n']
