animeTitle	Joshiraku OVA
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.41
animeUsers	9225
animeRank	
animePopularity	4087
animeDescription	OVA episode bundled with fifth volume of manga.
animeRelated	['Joshiraku']
animeCharacters	['Anrakutei, Kukuru', 'Buratei, Marii', 'Haroukitei, Kigurumi', 'Kuurubiyuutei, Gankyou', 'Bouhatei, Tetora']
animeVoices	['Gotou, Saori', 'Sakura, Ayane', 'Koiwai, Kotori', 'Nanjou, Yoshino', 'Yamamoto, Nozomi']
animeStaff	[['Miyamoto, Junnosuke', 'Producer'], ['Mizushima, Tsutomu', 'Director'], ['Koyama, Yoshitaka', 'Episode Director, Storyboard'], ['Momoiro Clover Z', 'Theme Song Performance']]
