animeTitle	b'Sousei Kishi Gaiarth'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.24
animeUsers	751
animeRank	
animePopularity	
animeDescription	b'Gaiarth - a world devastated by a cataclysmic war, where pockets of humanity struggle to survive amidst the wreckage of technologies made magical by ignorance. \n\nGaiarth - a world where artificially intelligent machines doggedly pursue their programmed imperatives: to protect, or destroy, humanity. \n\nGaiarth - a world in which an old and terrible evil has reawakened, threatening to once again bring forth Armageddon!\n\n(Source: AniDB)'
animeRelated	[b'Scramble Wars: Tsuppashire! Genom Trophy Rally']
animeCharacters	[b'Sahari', b'Zaxon', b'Del Labard, Ital', b'Sakuya', b'Warlock', b'BeastMaster', b'Fayk', b'Randis', b'Ayatolla', b'Barbarossa']
animeVoices	[b'\nHidaka, Noriko\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nNakamura, Daiki\nJapanese\n', b'\nHyoudou, Mako\nJapanese\n', b'\nTanaka, Nobuo\nJapanese\n', b'\nNaya, Rokurou\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nShima, Shunsuke\nJapanese\n', b'\nYoshida, Rihoko\nJapanese\n', b'\nNakata, Kouji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAramaki, Shinji\n\nDirector, Screenplay\n\n', b'\nKitazume, Hiroyuki\n\nDirector, Key Animation, Screenplay, Character Design\n\n', b'\nOzeki, Masayuki\n\nDirector\n\n', b'\nOoseki, Masayuki\n\nDirector\n\n']
