animeTitle	Kirai, Demo, Suki
animeType	ONA
animeNumEpisode	1
releaseDate	2016-04-05 00:00:00
endDate	
animeNumMembers	480
animeScore	5.21
animeUsers	205
animeRank	11117
animePopularity	13073
animeDescription	"A commercial to promote HAL Tokyo College of Technology & Design. Composer Teddyloid, rapper DAOKO, director Hibiki Yoshizaki, and character designer PALOW created the commercial. 

The character is named ""Throne.No.11 HAL mia,"" a girl who wants to change her fate. 

(Source: ANN)"
animeRelated	['Project HAL']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
