animeTitle	Yebisu Celebrities 1st
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	4122
animeRank	
animePopularity	5628
animeDescription	When Haruka Fujinami starts his job at Yebisu Graphics he takes an immediate dislike to his tyrannical boss, Mr. Daijou. Haruka is given the most menial tasks imaginable and is subjected to Daijou's verbal abuses as well, but oddly enough, he learns that his attraction to his boss grows with each new humiliation. Will Haruka finally stand up to Daijou and assert himself, or will he completely surrender his body and soul to the tall, dark stranger?
animeRelated	['Yebisu Celebrities']
animeCharacters	['Daijou, Takashi', 'Fujinami, Haruka']
animeVoices	['Kosugi, Juurouta', 'Horie, Kazuma']
animeStaff	[['Fuwa, Shinri', 'Original Creator']]
