animeTitle	Shin Koihime†Musou
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	10940
animeRank	
animePopularity	3329
animeDescription	"Kanuu and Chouhi's group rescue a mysterious girl, who is actually the real Ryuubi, her name and heirloom sword stolen after the events of the last season. The group sets off to recover Ryuubi's sword. At the same time, a group of street performers, the three Chou Sisters, are given a mysterious magic book that may be more trouble than they think....The franchise re-imagines the classic Chinese historical novel Romance of the Three Kingdoms (Sangokushi) as a ""moe (fiery), moe (preciously cute) action love comedy"" with an almost all-female cast.

(Source: ANN) "
animeRelated	['Koihime†Musou', 'Shin Koihime†Musou: Gunyuu, Minami no Shima de Bakansu wo Suru no Koto - Ato, Porori mo Aru yo!', 'Shin Koihime†Musou: Otome Tairan', 'Shin Koihime†Musou: Live Revolution']
animeCharacters	"[""Kan'u, Unchou"", 'Yokutoku, Chouhi', 'Shiryuu, Chouun', 'Mouki, Bachou', 'Koumei, Shokatsuryou', 'Ryuubi, Gentoku', 'Sousou, Moutoku', 'Housen, Ryofu', 'Kanshou, Kouchuu', 'Chuubou, Sonken']"
animeVoices	['Kurokawa, Nami', 'Nishizawa, Hiroka', 'Motoi, Emi', 'Kobayashi, Maki', 'Narumi, Erika', 'Gotou, Mai', 'Maeda, Yukie', 'Hagiwara, Emiko', 'Amamiya, Yuu']
animeStaff	[['Nakanishi, Nobuaki', 'Director, Episode Director, Storyboard'], ['Hamano, Kazuzou', 'Sound Director'], ['Motonaga, Keitarou', 'Episode Director'], ['Yoshida, Shunji', 'Episode Director']]
