animeTitle	b'Tokyo Ghoul \xe2\x88\x9aA'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.04
animeUsers	988505
animeRank	
animePopularity	
animeDescription	"b""Ken Kaneki has finally come to accept the monstrous, flesh-craving part of himself that he has feared and despised for so long. After escaping captivity and torture, Kaneki joins Aogiri Tree\xe2\x80\x94the very militant ghoul organization that had abducted him, leading his friends to question his true motive and loyalty.\n\nAs tension between the government and the ghouls continues to rise, the Commission of Counter Ghoul, the government's specialized anti-ghoul agency, has intensified their efforts to completely purge Tokyo of ghouls. This threatens the transient peace of Kaneki's friends and former comrades\xe2\x80\x94the ghouls at the Anteiku coffee shop. Aware of the dangerous situation, Kaneki faces several battles that puts his precious fleeting humanity on the line.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Tokyo Ghoul', b'Tokyo Ghoul:re']
animeCharacters	[b'Kaneki, Ken', b'Kirishima, Touka', b'Suzuya, Juuzou', b'Uta', b'Tsukiyama, Shuu', b'Nagachika, Hideyoshi', b'Eto', b'Kirishima, Ayato', b'Arima, Kishou ', b'Amon, Koutarou']
animeVoices	[b'\nHanae, Natsuki\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nToyonaga, Toshiyuki\nJapanese\n', b'\nSakamoto, Maaya\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorita, Shuuhei\n\nDirector\n\n', b'\nHaraguchi, Noboru\n\nSound Director\n\n', b'\nSueda, Yoshifumi\n\nEpisode Director, Storyboard\n\n', b'\nMatsubayashi, Tadahito\n\nEpisode Director, Storyboard\n\n']
