animeTitle	Kobutori
animeType	Movie
animeNumEpisode	1
releaseDate	1918-03-19 00:00:00
endDate	
animeNumMembers	470
animeScore	5.82
animeUsers	119
animeRank	9301
animePopularity	13123
animeDescription	Based on the tale Kobutori-jiisan about an honest old man who  encounters a band of tengu, mythical bird-like creatures making merry and joins their dancing. They liked his dancing a lot that they remove an unsightly lump from the side of his face. 
animeRelated	['Kobutori (1929)', 'Kobutori (1957)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
