animeTitle	b'Higurashi no Naku Koro ni Kai'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	8.2
animeUsers	219587
animeRank	
animePopularity	
animeDescription	b'In the small village of Hinamizawa, Rika Furude and her friends live together in relative harmony. Beneath this mask of peace, however, lies a hidden darkness, one that Rika understands all too well. In this eternal summer, she has been witness to unspeakable horrors. Every time the clock resets, Rika must try to find the villain behind these senseless deaths before tragedy strikes again. However, trying to decipher a mystery when only half the clues are present proves time and again to be disastrous, and each time she believes that things will change, she inevitably fails. As the annual festival approaches, Rika begins her descent from hope to despair in her struggle to break the chains of fate entangling them all.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Higurashi no Naku Koro ni Kai: Minagoroshi-hen', b'Higurashi no Naku Koro ni Kai: Matsuribayashi-hen', b'Higurashi no Naku Koro ni', b'Higurashi no Naku Koro ni Rei', b'Higurashi no Naku Koro ni Kai Specials']
animeCharacters	[b'Furude, Rika', b'Ryuuguu, Rena', b'Sonozaki, Shion', b'Sonozaki, Mion', b'Maebara, Keiichi', b'Hanyuu', b'Houjou, Satoko', b'Takano, Miyo', b'Bernkastel, Frederica', b'Ooishi, Kuraudo']
animeVoices	[b'\nTamura, Yukari\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nYukino, Satsuki\nJapanese\n', b'\nHoshi, Souichirou\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nKanai, Mika\nJapanese\n', b'\nItou, Miki\nJapanese\n', b'\nChafurin\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKon, Chiaki\n\nDirector, Episode Director, Storyboard\n\n', b'\nGouda, Hozumi\n\nSound Director\n\n', b'\nIwanaga, Akira\n\nEpisode Director, Storyboard\n\n', b'\nSokuza, Makoto\n\nEpisode Director\n\n']
