animeTitle	b'Houkago no Yuutousei'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.86
animeUsers	2375
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Houkago no Yuutousei']
animeCharacters	[b'Chitose']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSasamori, Tomoe\n\nOriginal Character Design, Original Creator\n\n']
