animeTitle	Yoroiden Samurai Troopers Gaiden
animeType	OVA
animeNumEpisode	2
releaseDate	1989-04-30 00:00:00
endDate	1989-06-01 00:00:00
animeNumMembers	2616
animeScore	6.58
animeUsers	1026
animeRank	5731
animePopularity	8741
animeDescription	"Although Talpa has been defeated, the Warriors don't get much of a break. As they celebrate Ryo's birthday party, the news tells them of a strange killer in samurai armor wreaking havoc in New York. And the armor looks very familiar. Now, they will have to battle the ancient sorcerer Shikaisen for Sage's life!

(Source: AniDB)"
animeRelated	['Yoroiden Samurai Troopers', 'Yoroiden Samurai Troopers Kikoutei Densetsu']
animeCharacters	['Hashiba, Touma', 'Date, Seiji', 'Sanada, Ryo', 'Rei Fuan, Shu', 'Mouri, Shin', 'Yagyu, Nasuti']
animeVoices	['Takemura, Hiroshi', 'Nakamura, Daiki', 'Kusao, Takeshi', 'Kusakabe, Kaori']
animeStaff	[['Hamatsu, Mamoru', 'Director, Storyboard'], ['Moriguchi, Hiroko', 'Theme Song Performance'], ['Karashima, Midori', 'Theme Song Lyrics, Theme Song Composition'], ['Murase, Shukou', 'Character Design']]
