animeTitle	Shin Strange+
animeType	TV
animeNumEpisode	12
releaseDate	2014-07-11 00:00:00
endDate	2014-09-26 00:00:00
animeNumMembers	
animeScore	6.23
animeUsers	5963
animeRank	
animePopularity	4742
animeDescription	Second season of Strange+.
animeRelated	['Strange+', 'Shin Strange+ Special']
animeCharacters	['Takumi', 'Miwa', 'Kou', 'Dorothy', 'Masamune', 'Kudou', 'Kyouya', 'Masashi', 'Hanei', 'Beauty T']
animeVoices	['Fukuyama, Jun', 'Yukino, Satsuki', 'Seki, Tomokazu', 'Kawata, Taeko', 'Okiayu, Ryoutarou', 'Chiba, Shigeru', 'Saiga, Mitsuki', 'Toujou, Sayako', 'Ono, Kensho']
animeStaff	[['Furukawa, Hiroyuki', 'Director, Character Design'], ['Kitamura, Junichi', 'Episode Director'], ['Sasaki, Tokihiro', 'Episode Director'], ['Fukuyama, Jun', 'Theme Song Performance']]
