animeTitle	Tokyo Loop
animeType	Movie
animeNumEpisode	1
releaseDate	2006-12-23 00:00:00
endDate	
animeNumMembers	
animeScore	5.18
animeUsers	428
animeRank	
animePopularity	9883
animeDescription	"A series of 16 ""short stories"" created by the creator's group Images Forum. The stories are:

Tokyo Strut (Sato Masahiko, Ueta Mio)
Tokyo Trip (Tanaami Keiichi)
Fishing Vine (Seike Mika)
Yuki-chan (Oyama Kei)
Dog & Bone (Shiriagari Kotobuki)
Public Convenience (Tabaimo)
TOKYO (Uda Atsuko)
Black Fish (Aihara Nobuhiro)
Unbalance (Ito Takashi)
Tokyo Girl (Shimao Maho)
Manipulated Man (Wada Atsushi)
Nuance (Murata Tomoyasu)
Hashimoto (Furukawa Taku)
Funkorogashi (Kuri Yoji)
Fig (Yamamura Koji)
12 O’Clock (Iwai Toshio)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
