animeTitle	b'Ring no Seraph'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	304
animeRank	
animePopularity	
animeDescription	"b""A pro wrestling match in which Miku and Rin (Cutie Angels) play against Meiko and Luka. The ringside commentator is KAITO. The referee is Len.\n\n(Source: Mitchie M's YouTube channel)"""
animeRelated	[]
animeCharacters	[b'Hatsune, Miku', b'Kagamine, Rin', b'Kaito', b'Kagamine, Len', b'Megurine, Luka', b'Meiko']
animeVoices	[]
animeStaff	[]
