animeTitle	Kuraibito
animeType	OVA
animeNumEpisode	1
releaseDate	2014-06-27 00:00:00
endDate	
animeNumMembers	5777
animeScore	6.08
animeUsers	2207
animeRank	
animePopularity	6616
animeDescription	Based on the erotic game by Tinker Bell. 
animeRelated	[]
animeCharacters	['Takashina, Kotone', 'Yuzuki, Mami', 'Kanou, Yuuri', 'Houjou, Shuuya', 'Houjou, Koharu', 'Houjou, Kofuyu']
animeVoices	[]
animeStaff	[['TinkerBell', 'Original Creator'], ['Aojiru', 'Original Character Design']]
