animeTitle	Stretta The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	2009-05-29 00:00:00
endDate	2009-07-31 00:00:00
animeNumMembers	
animeScore	6.9
animeUsers	4101
animeRank	
animePopularity	5386
animeDescription	"Ruma is the most beautiful and popular girl on school, she acts nice and polite with her classmates and friends, but she has a side that almost every male student knows and that is that she has the perfect sex body and she likes to have sex with any student she wants, where she wants and when she wants. Actually she only feeds with the sperm of her sexual encounters. The couples from Stringendo & Accelerando also appear in this OVAs and are Stretta's photo-targets so she can masturbate later with their sexual encounters. 

(Source: ANN) "
animeRelated	['Stretta', 'Accelerando: Datenshi-tachi no Sasayaki', 'Stringendo: Angel-tachi no Private Lesson']
animeCharacters	['Ruma', 'Kirishima', 'Mikura', 'Miyazawa, Ami', 'Tsuchiya']
animeVoices	['Rikimaru, Noriko']
animeStaff	[['Araki, Hideki', 'Director, Storyboard, Animation Director, Character Design'], ['Sawayama, Shinichiro', 'Script, Screenplay'], ['Seto, Yuuki', 'Original Creator']]
