animeTitle	b'Machine Robo: Butchigiri Battle Hackers'
animeType	b'TV'
animeNumEpisode	31
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A ship crewed by earthlings crashes on Chronos. Believing themselves stranded, the crew volunteers to fight along the Machine Robos.\n\n(Source: The Anime Encyclopedia)'
animeRelated	[b'Shutsugeki! Machine Robo Rescue', b'Lightning Trap: Leina & Laika', b'Machine Robo: Leina, The Legend of Wolf Blade', b'Machine Robo: Cronos no Dai Gyakushuu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
