animeTitle	High School Jingi
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14811
animeDescription	"The impulsive Yakuza Jouji was ordered by his boss to teach at a misfit-filled school. He now has to settle the score with a fated rival while falling head over heels for a colleague in the process.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Aki, Jouji', 'Akira', 'Jinnai, Tamasaburou', 'Shiratori, Reiko ']
animeVoices	['Orikasa, Ai']
animeStaff	[]
