animeTitle	Saiyuuki Gaiden
animeType	OVA
animeNumEpisode	3
releaseDate	2011-03-25 00:00:00
endDate	2011-11-25 00:00:00
animeNumMembers	
animeScore	7.83
animeUsers	3878
animeRank	
animePopularity	4937
animeDescription	 An OVA adaptation of the climactic part of Saiyuuki Gaiden. 
animeRelated	['Saiyuuki Gaiden', 'Saiyuuki Reload: Burial', 'Saiyuuki Gaiden: Kouga no Shou']
animeCharacters	['Son, Gokuu', 'Gensui, Tenpou', 'Douji, Konzen', 'Taishou, Kenren', 'Taishi, Nataku', 'Goujun', 'Bosatsu, Kanzeon']
animeVoices	['Hoshi, Souichirou', 'Ishida, Akira', 'Seki, Toshihiko', 'Hirata, Hiroaki', 'Kouda, Kaho', 'Touchi, Hiroki', 'Igarashi, Rei']
animeStaff	[['Kuzuya, Naoyuki', 'Director'], ['KOKIA', 'Theme Song Lyrics, Theme Song Performance, Theme Song Arrangement, Theme Song Composition'], ['Minekura, Kazuya', 'Original Creator'], ['Ledford, John', 'Executive Producer']]
