animeTitle	b'Puzzle & Dragon'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The story is set in modern day Japan following the growth of the protagonist Taiga Akashi, an elementary school kid who wants to be a professional gamer someday. \n\n(Source: Crunchyroll)'
animeRelated	[b'Puzzle & Dragons Cross']
animeCharacters	[b'Toragon', b'Akashi, Taiga']
animeVoices	[b'\nKakihara, Tetsuya\nJapanese\n', b'\nTomari, Asuna\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKamegaki, Hajime\n\nDirector\n\n', b'\nUrakami, Keiko\n\nSound Director\n\n', b'\nAsami, Takashi\n\nEpisode Director, Storyboard\n\n', b'\nHaruna, Luna\n\nTheme Song Lyrics, Theme Song Performance\n\n']
