animeTitle	Out Of My Head
animeType	Music
animeNumEpisode	1
releaseDate	2018-08-03 00:00:00
endDate	
animeNumMembers	383
animeScore	5.76
animeUsers	229
animeRank	9525
animePopularity	13719
animeDescription	"Scottish synth-pop group CHVRCHES has shared a vibrant new song and visual featuring the Japanese EDM group Wednesday Campanella.

""Out My Head"" is accompanied by an animated music video by famed anime creatives Junichi Yamamoto and Yoshiki Imazu. Lauren Mayberry, the lead vocalist of CHVRCHES, has said that Japan is a special country for the band.

(Source: billboard.com)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
