animeTitle	Robber's Company
animeType	ONA
animeNumEpisode	6
releaseDate	2016-06-30 00:00:00
endDate	2017-08-02 00:00:00
animeNumMembers	
animeScore	5.99
animeUsers	107
animeRank	
animePopularity	14487
animeDescription	"The stage is Tokyo. One girl wants to be a fashion designer. She gets a job officially selling suits, but main business is robbing banks. Her name is Funny. Is Funny able to follow her dream be a fashion designer even though she might get caught in the factions and bonds of the company?!

(Source: Official site)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
