animeTitle	Jizhi de Shanyang
animeType	Movie
animeNumEpisode	1
releaseDate	1956-01-01 00:00:00
endDate	
animeNumMembers	40
animeScore	
animeUsers	
animeRank	16430
animePopularity	18376
animeDescription	A puppet stop motion animation adapted from a Chinese folk tale about a witty goat who hides in a cave from a tiger. The goat lies to the tiger that it is the king of the mountain and eats tigers, scaring the tiger off. The tiger meets a fox at the bottom of the mountain and tells the fox what happened. The fox laughs and says that the tiger had been tricked by a goat.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
