animeTitle	b'Fortune Dogs'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	171
animeRank	
animePopularity	
animeDescription	"b""A French Bulldog is adopted from the Happy Kennel by a girl named Ai and is given the name Alex. She tells him stories and reads to him from a book titled The Adventures of Freddy about dog who leaves home to find the Fortune Tree.\n\nHowever, he is separated from Ai when he mistakenly follows a girl wearing the same clothes as Ai on a bus. Adopting the name Freddy, after the hero in Ai's storybook, Alex begins his quest to return to Ai. But before he can return to his owner, Freddy and his new friends must find the Fortune Tree and save it from dying, otherwise all the humans in the world will lose their good will and no longer care about their pets.\n\n(Source: Wikipedia)"""
animeRelated	[]
animeCharacters	[b'Freddy']
animeVoices	[b'\nKobayashi, Yumiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamakawa, Norio\n\nProducer\n\n', b'\nSaitou, Hiroshi\n\nDirector, Storyboard\n\n', b'\nTakahashi, Hideo\n\nSound Director, Sound Supervisor\n\n', b'\nTeramoto, Yukiyo\n\nEpisode Director, Storyboard\n\n']
