animeTitle	Ai Shoujo Pollyanna Story
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.96
animeUsers	1631
animeRank	
animePopularity	7217
animeDescription	"Motherless since birth, Pollyanna was an ordinary happy-go-lucky girl, leaving peacefully with her father, the vicar. Then one day her life changes completely when her father dies and she has to live with her aunt whom she has never met before. In the beginning, she seems to be detested by her but as time passes, they develop a very strong bond. 

(Source: ANN)"
animeRelated	['Ai Shoujo Pollyanna Story Specials']
animeCharacters	['Whittier, Pollyanna', 'Harrington, Polly', 'Bean, Jimmy', 'Harold', 'Kent, Edward', 'Peyson, Tom', 'Dr. Mead', 'Beth', 'Meg', 'Dean, Sadie']
animeVoices	['Horie, Mitsuko', 'Miyuki, Sanae', 'Yamada, Eiko', 'Nojima, Akio', 'Satou, Masaharu', 'Ogata, Kenichi', 'Totani, Kouji', 'Takagi, Sanae', 'Sakuma, Rei']
animeStaff	[['Kusuba, Kouzou', 'Director, Storyboard'], ['Kurokawa, Fumio', 'Storyboard'], ['Koshi, Shigeo', 'Storyboard'], ['Serizawa, Hiroaki', 'Theme Song Composition']]
