animeTitle	b'Umigame to Shounen'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The first film in Shin-Ei\'s series of annual WWII themed anime television movies for children ""Sensou Douwa"" (war story).\n\n(Source: AniDB)'"
animeRelated	[b'Kiku-chan to Ookami', b'Futatsu no Kurumi', b'Aoi Hitomi no Onnanoko no Ohanashi', b'Yakeato no, Okashi no Ki', b'Boku no Boukuugou', b'Tako ni Natta Okaasan', b'Chiisai Sensuikan ni Koi wo Shita Dekasugiru Kujira no Hanashi']
animeCharacters	"[b""Tetsuo's Grandmother""]"
animeVoices	[b'\nHisamatsu, Yuuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYasumi, Tetsuo\n\nDirector\n\n', b'\nOokuma, Akira\n\nSound Director\n\n', b'\nSakuraba, Motoi\n\nMusic\n\n', b'\nSeki, Shuuichi\n\nCharacter Design\n\n']
