animeTitle	Chou Kousoku Galvion
animeType	TV
animeNumEpisode	22
releaseDate	
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	173
animeRank	
animePopularity	10520
animeDescription	Super High Speed Galvion features mecha designs by Ohata Koichi (of Gunbuster fame). In the 23rd century billionaire Midoriyama Rei creates a secret organization called Circus to combat a hidden group called Shadow that is taking over the world. When she can't find qualified pilots for Circus' main mecha, the Galvion, she cuts a deal with two convicts, Mu and Maya, to lead the fight against Shadow.
animeRelated	[]
animeCharacters	['Mu', 'Maya', 'Michiko', 'Marugome', 'McMillan, Henry', 'Professor Marsel', 'Midoriyama, Rei', 'Gordon, Mary J', 'Remi', 'Brutus']
animeVoices	['Hashimoto, Kouichi', 'Suzuoki, Hirotaka', 'Ichiryuusai, Harumi', 'Sawaki, Ikuya', 'Horiuchi, Kenyuu', 'Masuoka, Hiroshi', 'Yokozawa, Keiko', 'Nashiwa, Yuri', 'Sakamoto, Chika', 'Aomori, Shin']
animeStaff	[['Shigino, Akira', 'Director, Storyboard'], ['Yamada, Etsuji', 'Sound Director'], ['Kuriyama, Yoshihide', 'Episode Director, Storyboard'], ['Nitta, Ichirou', 'Theme Song Arrangement, Theme Song Composition']]
