animeTitle	b'Tonikaku Kawaii: Kaisou'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	17038
animeRank	
animePopularity	
animeDescription	b'Recap of all 12 episodes of Tonikaku Kawaii.'
animeRelated	[b'Tonikaku Kawaii']
animeCharacters	[b'Yuzaki, Tsukasa', b'Yuzaki, Nasa', b'Arisugawa, Kaname', b'Arisugawa, Aya', b'Kaginoji, Chitose']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHata, Kenjirou\n\nOriginal Creator\n\n']
