animeTitle	b'Hidamari Sketch x SP'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.78
animeUsers	6223
animeRank	
animePopularity	
animeDescription	b'Even though studying at a prestigious art school like Yamabuki is hard work, the girls who live at the Hidamari Apartments always manage to squeeze in time for a little fun and exploration. And when they actually get a day off? Watch out world! Yuno, Sae, Hiro, Miyako and new students Nori and Nazuna return to create another masterpiece of life as art, with all new adventures that include swimming, pajama parties, trips to the art museum and even an all-you-can-eat diner courtesy of the landlady! Of course, there\xe2\x80\x99s always a little housework that has to be squeezed in, but with a pinch of resourcefulness and a dash of creativity, even the most onerous of chores can be turned into something magical. \n\n(Source: Sentai Filmworks) '
animeRelated	[b'Hidamari Sketch', b'Hidamari Sketch x \xe2\x98\x86\xe2\x98\x86\xe2\x98\x86 Specials', b'Hidamari Sketch x Honeycomb']
animeCharacters	[b'Miyako', b'Yuno', b'Sae', b'Hiro', b'Nori', b'Nazuna', b'Yoshinoya', b'Natsume', b'Ume', b'The Principal']
animeVoices	[b'\nMizuhashi, Kaori\nJapanese\n', b'\nAsumi, Kana\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n', b'\nGotou, Yuuko\nJapanese\n', b'\nHarada, Hitomi\nJapanese\n', b'\nOmigawa, Chiaki\nJapanese\n', b'\nMatsuki, Miyu\nJapanese\n', b'\nAoki, Ume\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwakami, Atsuhiro\n\nProducer\n\n', b'\nOoshima, Miku\n\nAssistant Producer, Script\n\n', b'\nShinbou, Akiyuki\n\nDirector\n\n', b'\nKameyama, Toshiki\n\nSound Director\n\n']
