animeTitle	Ookami Heart
animeType	Music
animeNumEpisode	2
releaseDate	2014-11-26 00:00:00
endDate	2015-04-30 00:00:00
animeNumMembers	2047
animeScore	6.24
animeUsers	810
animeRank	7497
animePopularity	9373
animeDescription	"Two official music videos for Oresama's Ookami Heart song which was used at the ED for Ookami Shoujo to Kuro Ouji. The first music video is the F.O.ver. release and it was also used to promote the band's 1st single release coming out on December 3, 2014. The second music video was a normal titled release of the song and it was also used to promote the band's 2nd single coming out on May 20, 2015. 

Both videos have completely unique and original animation animated by Utomaru, a freelance illustrator and graphic designer based in Tokyo.
"
animeRelated	['Ookami Shoujo to Kuro Ouji', 'Ookami Shoujo to Kuro Ouji: Gishinanki – Happening Kiss', 'Ookami Shoujo to Kuro Ouji Recap', 'Ginga', 'Otome Chic', 'Hotohashiru']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
