animeTitle	b'Onkyo Seimeitai Noiseman'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	4105
animeRank	
animePopularity	
animeDescription	b'The film is set in the distant future in a city called Cahmpon. A scientist creates a synthetic life-form called Noiseman, which erases music from the airwaves by turning it into crystals. A group of Biker street kids rebels against this tyranny. \n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Noiseman', b'Tobio', b'Reina']
animeVoices	[b'\nKozakura, Etsuko\nJapanese\n', b'\nOgihara, Hideki\nJapanese\n', b'\nOkamoto, Maya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorimoto, Kouji\n\nDirector, Setting, Character Design, Animation Director\n\n', b'\nMatsumi, Shinichi\n\nDirector\n\n', b'\nYuasa, Masaaki\n\nStoryboard, Animation Director, Key Animation, Character Design\n\n', b'\nKanno, Yoko\n\nMusic\n\n']
