animeTitle	Saint Seiya: Saishuu Seisen no Senshi-tachi
animeType	Movie
animeNumEpisode	1
releaseDate	1989-03-18 00:00:00
endDate	
animeNumMembers	14347
animeScore	6.78
animeUsers	8040
animeRank	4719
animePopularity	4585
animeDescription	"Lucifer has been awoken from his eternal slumber by the spirits of Eris, Abel and Poseidon. He has come to kill Athena and fulfill his heart's burning desire: becoming the strongest of all the gods.

(Source: ANN)"
animeRelated	['Saint Seiya']
animeCharacters	['Phoenix, Ikki', 'Dragon, Shiryuu', 'Pegasus, Seiya', 'Andromeda, Shun', 'Cygnus, Hyouga', 'Lucifer', 'Virgo, Shaka', 'Aries, Muu', 'Leo, Aiolia', 'Scorpio, Milo']
animeVoices	['Hori, Hideyuki', 'Suzuoki, Hirotaka', 'Furuya, Toru', 'Horikawa, Ryo', 'Hashimoto, Kouichi', 'Tsukayama, Masane', 'Shiozawa, Kaneto', 'Tanaka, Hideyuki']
animeStaff	[['Yamauchi, Shigeyasu', 'Director'], ['Baroli, Gilberto', 'Script, ADR Director'], ['Kurumada, Masami', 'Original Creator'], ['Baroli, Hermes', 'ADR Director']]
