animeTitle	b'Yamato yo Towa ni'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.6
animeUsers	982
animeRank	
animePopularity	
animeDescription	"b""The Black Nebula Empire attacks Earth and threatens to blow up the planet with a bomb they placed on Earth if counter attacked. Earths hopes rest on the Yamato crew as they go to the Black Nebula Planet and try to find a way to difuse the bomb before it's too late. \n\n(Source: ANN)"""
animeRelated	[b'Yamato yo Eien ni', b'Uchuu Senkan Yamato III', b'Uchuu Senkan Yamato: Aratanaru Tabidachi']
animeCharacters	[b'Kodai, Susumu', b'Sanada, Shirou', b'Kodai, Sasha', b'Shima, Daisuke', b'Mori, Yuki', b'Analyzer', b'Sado, Sakezou', b'Kodai, Mamoru', b'Starsha', b'Yamanami, Osamu']
animeVoices	[b'\nTomiyama, Kei\nJapanese\n', b'\nAono, Takeshi\nJapanese\n', b'\nHan, Keiko\nJapanese\n', b'\nNakamura, Shuusei\nJapanese\n', b'\nOgata, Kenichi\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n', b'\nHirokawa, Taichirou\nJapanese\n', b'\nUeda, Miyuki\nJapanese\n', b'\nKobayashi, Osamu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Tooru\n\nProducer\n\n', b'\nMatsumoto, Leiji\n\nDirector, Original Creator\n\n', b'\nKatsumata, Tomoharu\n\nDirector\n\n', b'\nMasuda, Toshio\n\nScript\n\n']
