animeTitle	Houma Hunter Lime
animeType	OVA
animeNumEpisode	3
releaseDate	1996-10-25 00:00:00
endDate	1997-03-07 00:00:00
animeNumMembers	1923
animeScore	5.99
animeUsers	685
animeRank	8703
animePopularity	9535
animeDescription	"For centuries, the magic and human worlds have been at peace with each other, though physically seperated by a magical gate. But when the powerful magic spheres are stolen and fall to the Earth below, the king of magic sends Boss, a fighter; Lime, a master transformer; and Poogie, a master morpher to retrieve them. With not much time, the trio must retrieve the spheres which, when in contact with the human world, suck up the negative emotions of household objects and become BEMs, Bug Eyed Monsters!
"
animeRelated	[]
animeCharacters	['Lime', 'Bass', 'Injector King', 'Nurse', 'Gammagucci', 'Rosokun', 'Poogie', 'Masahiko', 'Seo, Mizuki']
animeVoices	['Tamagawa, Sakiko', 'Yamaguchi, Kappei', 'Minami, Omi', 'Cho', 'Ootani, Ikue', 'Takemasa, Hiroko', 'Asami, Junko', 'Chiba, Isshin', 'Shiratori, Yuri']
animeStaff	[['Amino, Tetsuro', 'Director'], ['Hirokawa, Yuri', 'Color Design'], ['Arai, Torao', 'Art Director']]
