animeTitle	Burn Up! W
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	4054
animeRank	
animePopularity	5574
animeDescription	"When crime and terrorism go out of control in Tokyo, the police unleash Team Warrior - a band of highly-skilled and completely reckless band of female cops. Featuring loose cannon Rio, triggerhappy Maya and ace hacker Lilica, Team Warrior will get the job done, regardless of the budget of the mission. 

(Source: ANN)
"
animeRelated	['Burn-Up: Excess & W', 'Burn Up Excess', 'Burn Up!']
animeCharacters	['Kinezono, Rio', 'Jingu, Maya', 'Candlestick, Nanvel', 'Kawasaki, Maki', 'Ebett, Lilica', 'Naruo, Yuji', 'Terrorist Chief', 'Wolf Head', 'Dober Head', 'Maria']
animeVoices	['Imai, Yuka', 'Okamoto, Maya', 'Amano, Yuri', 'Shibata, Yumiko', 'Tange, Sakura', 'Okiayu, Ryoutarou', 'Katsuki, Masako', 'Masutani, Yasunori', 'Naya, Rokurou', 'Hikami, Kyouko']
animeStaff	[['Greenfield, Matt', 'Producer, Script'], ['Negishi, Hiroshi', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Lee, Amanda Winn', 'ADR Director']]
