animeTitle	Minami e Itta Misuke
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18233
animeDescription	"Jumping out of the cupboard, Chi-cha and Ikeho ask for Misuke's help, saying that they have to answer a quiz that the god Don-dan has given them to save their mother. Misuke then heads for a country in the south passing right through the cupboard.

(Source: Official Website)"
animeRelated	[]
animeCharacters	['Misuke']
animeVoices	[]
animeStaff	[['Tezuka, Osamu', 'Producer'], ['Yokoyama, Seiji', 'Music']]
