animeTitle	Wei, Kanjian Erduo La!
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.27
animeUsers	6459
animeRank	
animePopularity	4582
animeDescription	The cute story of the daily life between a guy and his cat-boy roommate.
animeRelated	['Wei, Kanjian Erduo La! 2']
animeCharacters	['A Miao', 'Da Shu', 'Dong Dong', 'Jin Zhu']
animeVoices	['Murase, Ayumu', 'Uchida, Yuuma', 'Katsumada, Keigo', 'Akito, Sarina']
animeStaff	[['Kanno, Chiai', 'Director, Episode Director'], ['Kon, Sadahiro', 'Sound Director'], ['Amasato, Tsukino', 'Theme Song Performance'], ['Hu, Tracy', 'Original Creator']]
