animeTitle	b'A-Channel+smile'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.11
animeUsers	10535
animeRank	
animePopularity	
animeDescription	"b""Following the everyday lives of four high school girls: the flighty Run, the reckless Tooru, the timid Yuuko, and the level-headed Nagi.\n\nMountain of Pancakes\nKitou-sensei injures her hand during class and has to deal with it while Tooru brings cat Tansan to school with her to meet Yutaka and Miho. Later, the girls decide to get pancakes at a caf\xc3\xa9 where Miho happens to be working, facing trouble when Yutaka shows up out of the blue.\n\nA Picture of a Wish\nYuuko catches a cold so the others pay her a visit and help look after her. Later, the girls get together for the New Year's shrine visit.\n\n(Source: Wikipedia)"""
animeRelated	[b'A-Channel', b'A-Channel: Nabe wo Tabeyou']
animeCharacters	[b'Ichii, Tooru', b'Nishi, Yuuko', b'Momoki, Run', b'Tennouji, Nagisa', b'Satou, Sachiyo', b'Kamate, Taki', b'Noyama, Miho', b'Imai, Yutaka', b'Kitou, Kimiko', b'Nishi, Keiko']
animeVoices	[b'\nYuuki, Aoi\nJapanese\n', b'\nKotobuki, Minako\nJapanese\n', b'\nFukuhara, Kaori\nJapanese\n', b'\nUchiyama, Yumi\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nSaitou, Momoko\nJapanese\n', b'\nMatayoshi, Ai\nJapanese\n', b'\nChihara, Minori\nJapanese\n', b'\nIguchi, Yuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwakami, Atsuhiro\n\nProducer\n\n', b'\nMatsuura, Hiroaki\n\nProducer\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nYuuki, Aoi\n\nTheme Song Performance, Inserted Song Performance\n\n']
