animeTitle	Sengoku Musou SP: Sanada no Shou
animeType	Special
animeNumEpisode	1
releaseDate	2014-03-21 00:00:00
endDate	
animeNumMembers	5449
animeScore	6.58
animeUsers	2319
animeRank	5721
animePopularity	6762
animeDescription	"The story of the special revolves around the Sanada brothers in their youth. Nobuyuki and Yukimura swear to each other to protect the influential Sanada clan. However, thinking of how to best continue the Sanada clan, Yukimura makes a decision, and meets with Mitsunari Ishida and Naoe Kanetsugu at the location he arrived at. On the other hand, his elder brother Nobuyuki must worry about the selfish demands made by the Tokugawa clan.

(Source: ANN)"
animeRelated	['Sengoku Musou']
animeCharacters	['Sanada, Yukimura', 'Sanada, Nobuyuki', 'Ishida, Mitsunari', 'Oda, Nobunaga', 'Kunoichi', 'Toyotomi, Hideyoshi', 'Naoe, Kanetsugu', 'Takeda, Shingen', 'Narrator', 'Akechi, Mitsuhide']
animeVoices	['Kusao, Takeshi', 'Ono, Daisuke', 'Takemoto, Eiji', 'Kosugi, Juurouta', 'Nagashima, Yuuko', 'Takatsuka, Masaya', 'Ishizuka, Unshou']
animeStaff	[['Hosoya, Nobuyuki', 'Producer'], ['Ochi, Koujin', 'Director, Storyboard'], ['Koizumi, Kisuke', 'Sound Director'], ['Yamada, Yuka', 'Script']]
