animeTitle	Airy Me
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	2346
animeRank	
animePopularity	7527
animeDescription	"A test subject is administered daily medication by a nurse in a ward where mysterious medical experiments take place. One day, when the nurse presses the switch of the test subject, it successfully transforms into a chimera. When the test subject continues to hold human desires to take on non-human forms, what spectacle will arise as a result? And what effect will this have on the subject's relationship with the nurse?

(Source: Japan Media Arts Festival)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
