animeTitle	Haru no Ashioto The Movie: Ourin Dakkan
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.87
animeUsers	785
animeRank	
animePopularity	9590
animeDescription	"One day the else so peaceful mood in the Ourin Gakuen suddenly changes. Kusunoki-sensei, the so-called subheroine, along with most of the students takes over the school after a coup d'état. The principal is beaten and now it`s up to Yuu Sakurano, Yuzuki Kaede and Nagomi Fujikura to take back the school from her and return it to the former peaceful days. 

This is the start of a full-scale war, one that this school has never seen before. 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Kaede, Yuzuki', 'Kusunoki, Ryuuougi', 'Sakurano, Yuu', 'Fujikura, Nagomi', 'Aoi, Nanako', 'Midorikawa, Akari']
animeVoices	['Yanase, Natsumi', 'Taguchi, Hiroko', 'Okada, Junko']
animeStaff	[['Harada, Hitomi', 'Theme Song Performance'], ['Tenmon', 'Music'], ['minori', 'Original Creator'], ['Fujikawa, Futoshi', 'Key Animation']]
