animeTitle	Geunyeoneun Yeppeotda
animeType	Movie
animeNumEpisode	1
releaseDate	2008-06-12 00:00:00
endDate	
animeNumMembers	297
animeScore	
animeUsers	
animeRank	15755
animePopularity	14590
animeDescription	"Three thirty-something friends meet each other for the first time in ten years. But when one of them goes on a blind date with a gorgeous girl, things become quite complicated. 

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	['Baek, Il-kwon']
animeVoices	[]
animeStaff	[]
