animeTitle	b'Zeonic Toyota Special Movie'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	1346
animeRank	
animePopularity	
animeDescription	b'Toyota Auris advertisement on Japanese television, featuring Char Aznable from Gundam series.'
animeRelated	[b'Mobile Suit Gundam', b'Hope: Suiso Shakai to, Korekara no Energy no Hanashi']
animeCharacters	[b'Aznable, Char', b'Sune, Lalah']
animeVoices	[b'\nIkeda, Shuuichi\nJapanese\n']
animeStaff	[]
