animeTitle	Tales of Zestiria the Cross 2nd Season
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	66218
animeRank	
animePopularity	1238
animeDescription	The second season of Tales of Zestiria the Cross. 
animeRelated	['Tales of Zestiria the Cross']
animeCharacters	['Mikleo', 'Sorey', 'Edna', 'Diphda, Alisha', 'Rose', 'Lailah', 'Dezel', 'Crowe, Velvet', 'Eizen', 'Zaveid']
animeVoices	['Oosaka, Ryouta', 'Kimura, Ryouhei', 'Fukuen, Misato', 'Kayano, Ai', 'Komatsu, Mikako', 'Shitaya, Noriko', 'Ono, Daisuke', 'Satou, Rina', 'Morikawa, Toshiyuki', 'Tsuda, Kenjirou']
animeStaff	[['Kondou, Hikaru', 'Producer, Sound Director, Planning'], ['Sotozaki, Haruo', 'Director, Episode Director, Storyboard, Animation Director'], ['Takahashi, Takuro', 'Episode Director, Storyboard, Animation Director, 2nd Key Animation'], ['Nonaka, Takuya', 'Episode Director']]
