animeTitle	Sue Cat
animeType	TV
animeNumEpisode	40
releaseDate	1980-06-04 00:00:00
endDate	1980-12-28 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13349
animeDescription	"After an accident, the amnesiac Sue was taken in to live with Torao's family. She always had the urge to become a singer, but didn't know why. As it turns out, Sue is actually part of a band formed with her two twin sisters. But Sue's climb to the top of the charts is a long and hard way.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Sue', 'Torao', 'Relative', 'Billy', 'Narrator', 'Akai', 'Maria']
animeVoices	['Tsuruoka, Yayoi', 'Hashimoto, Kouichi', 'Masuoka, Hiroshi', 'Tatsuta, Naoki', 'Aomori, Shin', 'Onoda, Eiichi', 'Yokozawa, Keiko']
animeStaff	[['Terada, Kenji', 'Episode Director'], ['Yotsuji, Takao', 'Episode Director, Chief Animation Director'], ['Yoshida, Hiroshi', 'Episode Director'], ['Pierpont, James Lord', 'Theme Song Composition']]
