animeTitle	b'Tantei Opera Milky Holmes: Summer Special'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	3064
animeRank	
animePopularity	
animeDescription	"b""A special program of Tantei Opera Milky Holmes produced by the staff of the TV series. \n\nAfter some pushing by Irene and her father and a lack of support otherwise, Kokoro stubbornly quits her job as a police detective to become an idol. She soon finds the idol life draining and starts to miss her old detective life. When Henriette notices Sherlock's loneliness without her, she stages a statue theft in order to convince Kokoro to return to the force.\n\n(Source: AniDB)"""
animeRelated	[b'Tantei Opera Milky Holmes']
animeCharacters	[b'Shellingford, Sherlock', b'Akechi, Kokoro', b'Mystere, Henriette', b'Burton, Hercule', b'Glauca, Cordelia', b'Nijuuri, Kai', b'Tooyama, Saku', b'Yuzurizaki, Nero', b'Nezu, Jirou', b'Zenigata, Tsugiko']
animeVoices	[b'\nMimori, Suzuko\nJapanese\n', b'\nNanjou, Yoshino\nJapanese\n', b'\nAkesaka, Satomi\nJapanese\n', b'\nSasaki, Mikoi\nJapanese\n', b'\nKitta, Izumi\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nTokui, Sora\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMoriwaki, Makoto\n\nDirector, Storyboard\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nNumata, Seiya\n\nEpisode Director, Storyboard, Animation Director, 2nd Key Animation, In-Between Animation, Key Animation, Character Design\n\n', b'\nOokubo, Masao\n\nEpisode Director, Storyboard\n\n']
