animeTitle	b'Yagami-kun no Katei no Jijou'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	551
animeRank	
animePopularity	
animeDescription	"b'Well, in short, the mother looks like she\'s 14, and the kid is ""openly"" in love with her\xe2\x80\x94loli x motha-con. His teacher, too, is in love with her mother, and so the love rivals duke it out in classroom, as well as plotting the downfall of their common enemy, his father. The father has a secretary who is in love with him. But once she discovered that he has such a ""young"" wife she turned her attention to his son, who is now torn between his own mother and a naive, motorbike riding girlfriend. Later on, the class gets a new student who looks exactly like the mother, whom everybody falls for. Except that the student is a he...\n\nYagami-kun OAV has a good chance of being the only anime of which the production video (tagged along with some episode) is more interesting than the anime itself. And they weren\'t kidding about \'Low budget manga spinoff anime aimed at exploiting the existing fan base. \n\n(Source: users.skynet.be/mangaguide)'"
animeRelated	[b'Yagami-kun no Katei no Jijou']
animeCharacters	[b'Yagami, Nomi', b'Yagami, Yuuji', b'Ikari, Mayuki', b'Mitsuko, Nanase', b'Yokkaichi, Akira', b'Yagami, Youji']
animeVoices	[b'\nHonda, Chieko\nJapanese\n', b'\nYao, Kazuki\nJapanese\n', b'\nKawamura, Maria\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nKamiya, Akira\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSadamitsu, Shinya\n\nDirector\n\n', b'\nHonda, Chieko\n\nTheme Song Performance\n\n', b'\nNitta, Ichirou\n\nTheme Song Composition, Theme Song Arrangement, Music\n\n', b'\nMima, Masafumi\n\nSound Manager\n\n']
