animeTitle	Rokujouma no Shinryakusha!?
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	2091
animeRank	
animePopularity	6321
animeDescription	A 6-minute promotion video of the novel.
animeRelated	['Rokujouma no Shinryakusha!?', 'Rokujouma no Shinryakusha!? (TV)']
animeCharacters	['Nijino, Yurika', 'Fortorthe, Theiamillis Gre', 'Higashihongan, Sanae', 'Kurano, Kiriha', 'Pardomshiha, Ruthkhania Nye', 'Fortorthe, Alaia Cua']
animeVoices	[]
animeStaff	[]
