animeTitle	Taiho Shichau zo in America
animeType	Special
animeNumEpisode	1
releaseDate	2002-03-29 00:00:00
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	1652
animeRank	
animePopularity	7432
animeDescription	"Fresh from being transferred to the LAPD, Miyuki and Natsumi must investigate some unusual car theft incidents in their area. And when Miyuki's yellow 1973 Ford Mustang Mach 1 is ""gone in 60 seconds"" (literally), the situation gets more complicated when they discover who the thief is.

(Source: ANN) "
animeRelated	['Taiho Shichau zo', 'Taiho Shichau zo (TV)', 'Taiho Shichau zo: Second Season']
animeCharacters	['Tsujimoto, Natsumi', 'Kobayakawa, Miyuki', 'Aoi, Futaba', 'Nikaidou, Yoriko', 'Tokairin, Shoji', 'Nakajima, Ken', 'Kachou', 'Saga, Saori', 'Strike, Otoko']
animeVoices	['Tamagawa, Sakiko', 'Hiramatsu, Akiko', 'Matsumoto, Rica', 'Kozakura, Etsuko', 'Seki, Tomokazu', 'Shimada, Bin', 'Masamune, Issei']
animeStaff	[['Koumoto, Shougo', 'Director, Storyboard'], ['Tamagawa, Sakiko', 'Theme Song Performance'], ['Hiramatsu, Akiko', 'Theme Song Performance'], ['Otani, Kow', 'Music']]
