animeTitle	Hakyuu Houshin Engi
animeType	TV
animeNumEpisode	23
releaseDate	
endDate	
animeNumMembers	
animeScore	5.37
animeUsers	3109
animeRank	
animePopularity	4111
animeDescription	"When his clan is wiped out by a beautiful demon, young Taikobo finds himself in charge of the mysterious Houshin Project. Its mission: find all immortals living in the human world and seal them away forever. But who do you trust—and whose side are you really on—when you've been trained to hunt demons by a demon?

(Source: VIZ Media)"
animeRelated	['Houshin Engi', 'Senkaiden Houshin Engi', 'Hakyuu Houshin Engi Recap', 'Hakyuu Houshin Engi: Kou-ke no Chi']
animeCharacters	['Taikoubou', 'Li, Nataku', 'Dakki', 'Shinkohyou', 'Bunchuu', 'Youzen', 'Sibuxiang', 'Kou, Tenka', 'Chou Kou Mei', 'Fukki']
animeVoices	['Ono, Kensho', 'Furukawa, Makoto', 'Hikasa, Youko', 'Toriumi, Kousuke', 'Maeno, Tomoaki', 'Nakamura, Yuuichi', 'Sakurai, Takahiro', 'KENN', 'Okitsu, Kazuyuki', 'Okamoto, Nobuhiko']
animeStaff	[['Aizawa, Masahiro', 'Director'], ['Iwata, Kazuya', 'Episode Director'], ['Ookusa, Yoshiki', 'Script'], ['Ikeda, Rintarou', 'Script']]
