animeTitle	Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2014-06-30 00:00:00
endDate	
animeNumMembers	
animeScore	6.42
animeUsers	13280
animeRank	
animePopularity	3510
animeDescription	"This OVA is divided into two parts. First one is about Torii Shoutarou following his younger sister on a date. Second one is about Christmas Eve, which Mitsuki, Yuuya and their friends spend at Kanzaki's house.

Bundled with the limited-edition volume 7 of the manga.

(Source: AniDB)"
animeRelated	['Saikin, Imouto no Yousu ga Chotto Okashiinda ga.']
animeCharacters	['Kanzaki, Mitsuki', 'Kotobuki, Hiyori', 'Kanzaki, Yuuya', 'Torii, Moa', 'Torii, Shoutarou', 'Kiritani, Yukina', 'Neko', 'Tachibana, Ayaka', 'Mei', 'Kanzaki, Kyouko']
animeVoices	['Hashimoto, Chinami', 'Ogura, Yui', 'Majima, Junji', 'Terakawa, Aimi', 'Takumi, Yasuaki', 'Kanemoto, Hisako', 'Sasaki, Mikoi', 'Tanaka, Manami', 'Toyota, Moe', 'Itou, Miki']
animeStaff	[['Nakanishi, Ryousuke', 'Music'], ['Matsuzawa, Mari', 'Original Creator']]
