animeTitle	Tentou Mushi no Uta
animeType	TV
animeNumEpisode	104
releaseDate	
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	183
animeRank	
animePopularity	12277
animeDescription	The adventures of seven orphan who live in poverty, although they have a very rich grandfather.
animeRelated	[]
animeCharacters	['Isshuu, Mizuo', 'Isshuu, Tsuchimaru', 'Isshuu, Kintaro', 'Isshuu, Kaji', 'Isshuu, Tsukimi', 'Isshuu, Mokusuke', 'Yoichi', 'Soroku']
animeVoices	['Yamamoto, Yoshiko', 'Maruyama, Hiroko', 'Tsukase, Noriko', 'Yasuhara, Yoshito', 'Okamoto, Mari', 'Yamashita, Keisuke', 'Masuoka, Hiroshi', 'Ootake, Hiroshi']
animeStaff	[['Sasagawa, Hiroshi', 'Director'], ['Shiba, Shigeharu', 'Sound Director'], ['Nunokawa, Yuuji', 'Episode Director'], ['Annou, Masami', 'Episode Director']]
