animeTitle	Senki Zesshou Symphogear AXZ: Senki Zesshou Shinai Symphogear
animeType	Special
animeNumEpisode	4
releaseDate	2017-11-29 00:00:00
endDate	2018-02-28 00:00:00
animeNumMembers	
animeScore	6.89
animeUsers	1296
animeRank	
animePopularity	7611
animeDescription	Original short episodes featuring characters in super-deformed style. Bundled with Blu-ray/DVD volumes 3 to 6 of the anime.
animeRelated	['Senki Zesshou Symphogear AXZ']
animeCharacters	['Yukine, Chris', 'Tachibana, Hibiki', 'Kazanari, Tsubasa', 'Akatsuki, Kirika', 'Cadenzavna Eve, Maria', 'Tsukuyomi, Shirabe', 'Kohinata, Miku', 'Kazanari, Genjuurou', 'Elfnein', 'Cagliostro']
animeVoices	['Takagaki, Ayahi', 'Yuuki, Aoi', 'Mizuki, Nana', 'Kayano, Ai', 'Hikasa, Youko', 'Nanjou, Yoshino', 'Iguchi, Yuka', 'Ishikawa, Hideo', 'Kuno, Misaki', 'Aoi, Shouta']
animeStaff	[['Kaneko, Akifumi', 'Script'], ['Ono, Katsumi', 'Storyboard'], ['Yuuki, Aoi', 'Theme Song Performance'], ['Iguchi, Yuka', 'Theme Song Performance']]
