animeTitle	b'Fei Ren Zai'
animeType	b'ONA'
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	7.15
animeUsers	490
animeRank	
animePopularity	
animeDescription	b'The hilarious everyday lives of ancient deities and mythical creatures in the modern world.'
animeRelated	[b'Fei Ren Zai', b'Fei Ren Zai 2nd Season']
animeCharacters	[b'Jiu Yue', b'Jing Wei', b'Ao Lie', b'Mi Le', b'Bai Ze', b'Nian', b'Red Boy', b'Dragon Girl', b'Da Ji', b'Yang Jian']
animeVoices	[]
animeStaff	[]
