animeTitle	Akane Maniax
animeType	OVA
animeNumEpisode	3
releaseDate	2004-11-25 00:00:00
endDate	2005-08-26 00:00:00
animeNumMembers	17698
animeScore	5.73
animeUsers	8924
animeRank	9638
animePopularity	4221
animeDescription	"Jouji Gouda is a new transfer student at Hakuryo High. He fell in love at first sight and boldly proposed to Akane Suzumiya, representative of his class, on his first day at the new school. Although Akane finds him very annoying, hot-blooded and simple-minded Jouji never gives up and would do anything to express his love towards Akane. 
"
animeRelated	['Kimi ga Nozomu Eien']
animeCharacters	['Suzumiya, Akane', 'Gouda, Jouji', 'Kagami, Sumika', 'Mitsurugi, Meiya', 'Shirogane, Takeru', 'Hayase, Mitsuki', 'Suzumiya, Haruka', 'Kouzuki, Yuuko', 'Yashiro, Kasumi', 'Jinguuji, Marimo']
animeVoices	['Mizuhashi, Kaori', 'Seki, Tomokazu', 'Taguchi, Hiroko', 'Okushima, Kazumi', 'Hoshi, Souichirou', 'Kuribayashi, Minami', 'Motoi, Emi', 'Inoue, Miki']
animeStaff	[['Watanabe, Tetsuya', 'Director, Storyboard'], ['Kikuta, Hiromi', 'Sound Director'], ['Suzuki, Masashi', 'Script'], ['Mori, Takeshi', 'Storyboard']]
