animeTitle	Kuuchuu Buranko
animeType	TV
animeNumEpisode	11
releaseDate	2009-10-15 00:00:00
endDate	2009-12-24 00:00:00
animeNumMembers	
animeScore	7.95
animeUsers	20869
animeRank	
animePopularity	1879
animeDescription	"The world of psychology is far from strange to the unusual Dr. Ichirou Irabu, a resident psychiatrist of Irabu General Hospital. He and his charming nurse Mayumi run through several patients, each suffering from a mental illness that harms their everyday life. 

Patients should be wary of the seductive Mayumi, with her spellbinding looks and devilishly short pink nurse uniform. On the other hand, the doctor seems to have three separate personalities: a child with an oversized lab coat; an intelligent, youthful man with feminine traits; and a selfish, outgoing green bear. While curing his patients in questionable ways, Dr. Irabu often tries to gain something from them outside of his profession—and in doing so, occasionally forgets his role as a doctor.

As each patient struggles to face the nature of their distress, an obvious yet invisible thread ties their paths together.

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Irabu, Ichirou', 'Mayumi', 'Fukui', 'Ino, Seiji', 'Yasukawa, Hiromi', 'Tsuda, Yuuta', 'Bandou, Shinichi', 'Tanabe, Mitsuo', 'Tsuda, Hideo', 'Iwamura, Yoshio']
animeVoices	['Park, Romi', 'Sugimoto, Yumi', 'Fukui, Kenji', 'Takahashi, Hiroki', 'Hatano, Wataru', 'Irino, Miyu', 'Namikawa, Daisuke', 'Okiayu, Ryoutarou', 'Furuya, Toru', 'Iwata, Mitsuo']
animeStaff	[['Yamamoto, Kouji', 'Producer'], ['Jouno, Masato', 'Producer'], ['Nakamura, Kenji', 'Director, Episode Director, Storyboard'], ['Nagasaki, Yukio', 'Sound Director']]
