animeTitle	"b""Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly"""
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	8.56
animeUsers	153731
animeRank	
animePopularity	
animeDescription	"b""The Fifth Holy Grail War continues, and the ensuing chaos results in higher stakes for all participants. Shirou Emiya continues to participate in the war, aspiring to be a hero of justice who saves everyone. He sets out in search of the truth behind a mysterious dark shadow and its murder spree, determined to defeat it.\n\nMeanwhile, Shinji Matou sets his own plans into motion, threatening Shirou through his sister Sakura Matou. Shirou and Rin Toosaka battle Shinji, hoping to relieve Sakura from the abuses of her brother. But the ugly truth of the Matou siblings begins to surface, and many dark secrets are exposed.\n\nFate/stay night Movie: Heaven's Feel - II. Lost Butterfly continues to focus on the remaining Masters and Servants as they fight each other in the hopes of obtaining the Holy Grail. However, as darkness arises within Fuyuki City, even the state of their sacred war could be in danger.\n\n[Written by MAL Rewrite]"""
animeRelated	"[b""Fate/stay night: Heaven's Feel"", b""Fate/stay night Movie: Heaven's Feel - I. Presage Flower"", b""Fate/stay night Movie: Heaven's Feel - III. Spring Song""]"
animeCharacters	[b'Toosaka, Rin', b'Emiya, Shirou', b'Matou, Sakura', b'Saber', b'Emiya, Kiritsugu', b'Gilgamesh', b'Archer', b'von Einzbern, Illyasviel', b'Kotomine, Kirei', b'Rider']
animeVoices	[b'\nUeda, Kana\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n', b'\nShitaya, Noriko\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n', b'\nNakata, Jouji\nJapanese\n', b'\nAsakawa, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSudou, Tomonori\n\nDirector, Storyboard, Chief Animation Director, Character Design\n\n', b'\nAimer\n\nTheme Song Performance\n\n', b'\nKajiura, Yuki\n\nMusic\n\n', b'\nNasu, Kinoko\n\nOriginal Creator\n\n']
