animeTitle	Skyers 5
animeType	TV
animeNumEpisode	12
releaseDate	1967-10-04 00:00:00
endDate	1967-12-20 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13189
animeDescription	"A science fiction action series about the future battles between a planetary police force and an international crime syndicate. The series plays out as a mix between science fiction and an old western. 
"
animeRelated	['Shin Skyers 5', 'Skyers 5 EX']
animeCharacters	['Captain', 'Shuntarou', 'Yuri', 'Samson', 'Ghost', 'Polka']
animeVoices	['Maki, Kyousuke', 'Nakamura, Shuusei', 'Kuri, Youko', 'Kamiyama, Takuzou', 'Wakui, Setsuo']
animeStaff	[['Seki, Shuuichi', 'Episode Director, Animation Director'], ['Honey Knights', 'Theme Song Performance'], ['Kawasaki, Noboru', 'Original Creator']]
