animeTitle	b'Ushiwakamaru'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A time-slipped Ushiwakamaru (the childhood name of Minamoto no Yoshitsune, a military commander of the Minamoto clan and is known as one of the strongest samurai in the history of Japan) arrives in modern day Japan and has to learn traffic safety, bicycle traffic safety, disaster prevention, and kidnapping prevention.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
