animeTitle	Nineko Gelée
animeType	ONA
animeNumEpisode	1
releaseDate	2016-10-25 00:00:00
endDate	
animeNumMembers	441
animeScore	5.34
animeUsers	163
animeRank	10822
animePopularity	13339
animeDescription	An animation staring Gelée, an anthropomorphic cat character created by DLE.
animeRelated	[]
animeCharacters	['Gelée']
animeVoices	['Oomori, Seiko']
animeStaff	[['Oomori, Seiko', 'Theme Song Performance']]
