animeTitle	Yumekuri
animeType	OVA
animeNumEpisode	1
releaseDate	2012-11-28 00:00:00
endDate	
animeNumMembers	
animeScore	5.46
animeUsers	3320
animeRank	
animePopularity	6186
animeDescription	"The story revolves around Yukami Makoto, a high school boy whose hobby is visiting hot springs. His 100th hot spring visit is at Miyama-kan, an inn run by four poster girls: Tokura, Akino, Tsutsuji and Mitomo. There, Makoto spies Yuri, a goddess of the hot springs, and unexpectedly usurps her powers. Makoto ends up working at the inn. 

(Source: ANN) "
animeRelated	['Yumekuri']
animeCharacters	['Rokuya, Mitomo', 'Ushiki, Tokura', 'Shirahane, Yuri', 'Mikogai, Akino', 'Yukami, Makoto', 'Tounosawa, Tsutsuji']
animeVoices	['Itou, Kanae', 'Kayano, Ai', 'Satou, Satomi', 'Kanemoto, Hisako', 'Nakamura, Yuuichi', 'Oogame, Asuka']
animeStaff	[['Hata, Hiroyuki', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Amemiya, Hitomi', 'Script'], ['Hiro', 'Original Creator']]
