animeTitle	b'Daiyoshi P Produce Ashita no Jobuubu'
animeType	b'ONA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'A collaboration between Taka no Tsume and the Town Work, an employment office whose mascot is a pig called Jobuubu (a play on words of ""job"" and the Japanese onomatopoeia sounds a pig makes).'"
animeRelated	[b'Himitsukessha Taka no Tsume MAX', b'Taka no Tsume GO: Utsukushiki Elleair Shoushuu Plus', b'Taka no Tsume 7: Joou Heika no Jobuubu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
