animeTitle	Platonic Chain
animeType	TV
animeNumEpisode	24
releaseDate	2002-10-05 00:00:00
endDate	2003-03-29 00:00:00
animeNumMembers	3269
animeScore	5.63
animeUsers	649
animeRank	9966
animePopularity	8164
animeDescription	"In the near future, technology has made a few leaps and bounds, and videophones and constant wireless internet access are available to everyone. However, it would seen that the government has been careless and a skilled hacker was able to break into the national information archive. Using the data held there he creates the Platonic Chain website for people to discover information about themselves and their friends. Words start to spread quickly that there is a site that enables you to look up anything. Coincidentally, three young girls, Hitomi, Rika, and Kanae, are able to access the site.

(Source: ANN)"
animeRelated	['Platonic Chain', 'Platonic Chain: Web', 'Platonic Chain: Ansatsu Jikkouchuu']
animeCharacters	['Mizuhara, Kanae', 'Tanaka, Hitomi', 'Kagura, Rika']
animeVoices	['Tsunakake, Hiromi', 'Chiba, Saeko', 'Nonaka, Ai']
animeStaff	[['Itami, Aki', 'Script'], ['Ichikawa, Ai', 'Theme Song Performance'], ['Okazaki, Takeshi', 'Character Design']]
